# Time, Phi
2.538538538538538347e+01,2.448566234566546651e+00
2.546546546546546352e+01,2.452285443691144096e+00
2.554554554554554358e+01,2.455496625416195844e+00
2.562562562562562363e+01,2.458230102698272024e+00
2.570570570570570723e+01,2.460520302022219052e+00
2.578578578578578728e+01,2.462405316176414782e+00
2.586586586586586733e+01,2.463926441194469685e+00
2.594594594594594739e+01,2.465127692650320945e+00
2.602602602602602744e+01,2.466055306574459038e+00
2.610610610610610749e+01,2.466757230285894664e+00
2.618618618618618754e+01,2.467282608408380984e+00
2.626626626626626759e+01,2.467681269261928989e+00
2.634634634634634764e+01,2.468003216693702040e+00
2.642642642642642770e+01,2.468298132238456510e+00
2.650650650650650775e+01,2.468614892280581508e+00
2.658658658658658780e+01,2.469001104630704990e+00
2.666666666666666785e+01,2.469502668633335229e+00
2.674674674674674790e+01,2.470163362591860867e+00
2.682682682682682795e+01,2.471024461937520122e+00
2.690690690690690801e+01,2.472124391183993630e+00
2.698698698698698806e+01,2.473498412303298810e+00
2.706706706706706811e+01,2.475178351736421423e+00
2.714714714714714816e+01,2.477192367817937946e+00
2.722722722722722821e+01,2.479564759952484376e+00
2.730730730730730826e+01,2.482315820436773901e+00
2.738738738738738832e+01,2.485461729378440676e+00
2.746746746746746837e+01,2.489014492726594252e+00
2.754754754754754842e+01,2.492981923002786981e+00
2.762762762762762847e+01,2.497367661909116965e+00
2.770770770770770852e+01,2.502171243596090555e+00
2.778778778778778857e+01,2.507388197000168351e+00
2.786786786786786863e+01,2.513010185312755773e+00
2.794794794794794868e+01,2.519025180321671886e+00
2.802802802802802873e+01,2.525417669075297411e+00
2.810810810810810878e+01,2.532168890060873867e+00
2.818818818818818883e+01,2.539257095863578950e+00
2.826826826826826888e+01,2.546657839083464214e+00
2.834834834834834894e+01,2.554344278134095259e+00
2.842842842842842899e+01,2.562287499430540905e+00
2.850850850850850904e+01,2.570456852395341052e+00
2.858858858858858909e+01,2.578820293669275010e+00
2.866866866866866914e+01,2.587344736908604226e+00
2.874874874874874919e+01,2.595996404581152994e+00
2.882882882882882924e+01,2.604741178239049937e+00
2.890890890890890930e+01,2.613544943844565260e+00
2.898898898898898935e+01,2.622373928855632474e+00
2.906906906906906940e+01,2.631195027937211162e+00
2.914914914914914945e+01,2.639976114351381131e+00
2.922922922922922950e+01,2.648686334290451860e+00
2.930930930930930955e+01,2.657296381650822603e+00
2.938938938938938961e+01,2.665778750997877200e+00
2.946946946946946966e+01,2.674107966741041675e+00
2.954954954954954971e+01,2.682260786820113374e+00
2.962962962962962976e+01,2.690216379496062071e+00
2.970970970970970981e+01,2.697956472138552719e+00
2.978978978978978986e+01,2.705465471205316774e+00
2.986986986986986992e+01,2.712730552912160142e+00
2.994994994994994997e+01,2.719741724393783144e+00
3.003003003003003002e+01,2.726491855451801172e+00
3.011011011011011007e+01,2.732976681274566388e+00
3.019019019019019012e+01,2.739194776791014529e+00
3.027027027027027017e+01,2.745147503585169346e+00
3.035035035035035023e+01,2.750838930547006900e+00
3.043043043043043028e+01,2.756275729666856744e+00
3.051051051051051033e+01,2.761467048592638474e+00
3.059059059059059038e+01,2.766424361760305928e+00
3.067067067067067043e+01,2.771161302076539101e+00
3.075075075075075048e+01,2.775693475277827282e+00
3.083083083083083054e+01,2.780038259210777518e+00
3.091091091091091059e+01,2.784214590374133547e+00
3.099099099099099064e+01,2.788242740133241693e+00
3.107107107107107069e+01,2.792144083062497284e+00
3.115115115115115074e+01,2.795940859890750030e+00
3.123123123123123079e+01,2.799655937519215598e+00
3.131131131131131085e+01,2.803312568551750594e+00
3.139139139139139090e+01,2.806934152724198217e+00
3.147147147147147095e+01,2.810544002544161923e+00
3.155155155155155100e+01,2.814165115356065172e+00
3.163163163163163105e+01,2.817819953930333465e+00
3.171171171171171110e+01,2.821530237541519437e+00
3.179179179179179116e+01,2.825316745349943925e+00
3.187187187187187121e+01,2.829199133736835847e+00
3.195195195195195126e+01,2.833195769065959269e+00
3.203203203203203486e+01,2.837323577157379262e+00
3.211211211211211491e+01,2.841597910563439910e+00
3.219219219219219497e+01,2.846032434535308298e+00
3.227227227227227502e+01,2.850639032362739744e+00
3.235235235235235507e+01,2.855427730562169586e+00
3.243243243243243512e+01,2.860406644180905733e+00
3.251251251251251517e+01,2.865581942280158056e+00
3.259259259259259522e+01,2.870957833458824826e+00
3.267267267267267528e+01,2.876536571085310801e+00
3.275275275275275533e+01,2.882318477717880079e+00
3.283283283283283538e+01,2.888301988016825916e+00
3.291291291291291543e+01,2.894483709285685880e+00
3.299299299299299548e+01,2.900858498625025650e+00
3.307307307307307553e+01,2.907419555542404499e+00
3.315315315315315559e+01,2.914158528736889409e+00
3.323323323323323564e+01,2.921065635666927118e+00
3.331331331331331569e+01,2.928129793417129534e+00
3.339339339339339574e+01,2.935338759303167233e+00
3.347347347347347579e+01,2.942679279594834885e+00
3.355355355355355584e+01,2.950137244695612448e+00
3.363363363363363590e+01,2.957697849092733033e+00
3.371371371371371595e+01,2.965345754384649979e+00
3.379379379379379600e+01,2.973065253702612765e+00
3.387387387387387605e+01,2.980840435869232419e+00
3.395395395395395610e+01,2.988655347678856877e+00
3.403403403403403615e+01,2.996494152741472128e+00
3.411411411411411621e+01,3.004341285402772233e+00
